"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201213","BSC","1: 0-4","40","17","$9.10","$3.40"
"2",20602,"Darebin - South","FY201213","BSC","1: 0-4","20","7","$8.85","$3.95"
"3",20603,"Essendon","FY201213","BSC","1: 0-4","20","8","$11.00","$3.40"
"4",20604,"Melbourne City","FY201213","BSC","1: 0-4","10","     <5","$8.25","$2.85"
"5",20605,"Port Phillip","FY201213","BSC","1: 0-4","20","10","$11.10","$5.05"
"6",20606,"Stonnington - West","FY201213","BSC","1: 0-4","10","     <5","$8.30","$2.70"
"7",20607,"Yarra","FY201213","BSC","1: 0-4","10","9","$8.35","$1.75"
"8",20701,"Boroondara","FY201213","BSC","1: 0-4","60","23","$10.00","$3.85"
"9",20702,"Manningham - West","FY201213","BSC","1: 0-4","20","12","$9.10","$2.10"
"10",20703,"Whitehorse - West","FY201213","BSC","1: 0-4","30","20","$9.95","$4.20"
"11",20801,"Bayside","FY201213","BSC","1: 0-4","50","16","$11.75","$5.75"
"12",20802,"Glen Eira","FY201213","BSC","1: 0-4","70","24","$8.90","$2.90"
"13",20803,"Kingston","FY201213","BSC","1: 0-4","70","15","$9.55","$2.90"
"14",20804,"Stonnington - East","FY201213","BSC","1: 0-4","30","     <5","$11.10","$1.65"
"15",20901,"Banyule","FY201213","BSC","1: 0-4","60","27","$7.50","$1.75"
"16",20902,"Darebin - North","FY201213","BSC","1: 0-4","30","11","$6.70","$1.80"
"17",20903,"Nillumbik - Kinglake","FY201213","BSC","1: 0-4","20","18","$6.85","$2.35"
"18",20904,"Whittlesea - Wallan","FY201213","BSC","1: 0-4","80","34","$8.60","$2.60"
"19",21001,"Keilor","FY201213","BSC","1: 0-4","20","12","$9.60","$2.15"
"20",21002,"Macedon Ranges","FY201213","BSC","1: 0-4","10","6","$8.80","$1.30"
"21",21003,"Moreland - North","FY201213","BSC","1: 0-4","20","9","$7.60","$2.35"
"22",21004,"Sunbury","FY201213","BSC","1: 0-4","10","8","$8.25","$1.55"
"23",21005,"Tullamarine - Broadmeadows","FY201213","BSC","1: 0-4","40","27","$8.25","$3.75"
"24",21101,"Knox","FY201213","BSC","1: 0-4","50","36","$8.55","$2.55"
"25",21102,"Manningham - East","FY201213","BSC","1: 0-4","10","9","$8.85","$1.45"
"26",21103,"Maroondah","FY201213","BSC","1: 0-4","30","21","$8.20","$2.70"
"27",21104,"Whitehorse - East","FY201213","BSC","1: 0-4","20","12","$7.00","$2.40"
"28",21105,"Yarra Ranges","FY201213","BSC","1: 0-4","40","36","$7.15","$1.95"
"29",21201,"Cardinia","FY201213","BSC","1: 0-4","20","13","$7.85","$4.10"
"30",21202,"Casey - North","FY201213","BSC","1: 0-4","50","18","$8.70","$3.30"
"31",21203,"Casey - South","FY201213","BSC","1: 0-4","40","22","$7.95","$1.75"
"32",21204,"Dandenong","FY201213","BSC","1: 0-4","40","21","$7.20","$2.35"
"33",21205,"Monash","FY201213","BSC","1: 0-4","60","30","$9.25","$3.05"
"34",21301,"Brimbank","FY201213","BSC","1: 0-4","40","19","$8.30","$2.20"
"35",21302,"Hobsons Bay","FY201213","BSC","1: 0-4","20","12","$7.90","$1.50"
"36",21303,"Maribyrnong","FY201213","BSC","1: 0-4","30","12","$7.75","$2.40"
"37",21304,"Melton - Bacchus Marsh","FY201213","BSC","1: 0-4","60","21","$7.70","$1.35"
"38",21305,"Wyndham","FY201213","BSC","1: 0-4","70","31","$8.45","$3.30"
"39",21401,"Frankston","FY201213","BSC","1: 0-4","40","22","$8.25","$2.25"
"40",21402,"Mornington Peninsula","FY201213","BSC","1: 0-4","20","14","$7.45","$2.15"
