code,name,year,service,childage,childcount,servicecount,hrfee,hrstd
20601,Brunswick - Coburg,FY201314,ASC,2: 5-9,"1,500",16,$7.70,$1.70
20602,Darebin - South,FY201314,ASC,2: 5-9,"1,300",11,$7.10,$1.85
20603,Essendon,FY201314,ASC,2: 5-9,"1,300",14,$7.70,$1.55
20604,Melbourne City,FY201314,ASC,2: 5-9,690,9,$8.00,$2.70
20605,Port Phillip,FY201314,ASC,2: 5-9,"1,210",11,$9.15,$2.90
20606,Stonnington - West,FY201314,ASC,2: 5-9,580,11,$10.00,$2.85
20607,Yarra,FY201314,ASC,2: 5-9,"1,470",15,$7.20,$1.85
20701,Boroondara,FY201314,ASC,2: 5-9,"3,030",40,$8.75,$1.95
20702,Manningham - West,FY201314,ASC,2: 5-9,950,16,$7.65,$2.45
20703,Whitehorse - West,FY201314,ASC,2: 5-9,"1,810",22,$8.40,$1.70
20801,Bayside,FY201314,ASC,2: 5-9,"1,890",22,$8.70,$1.65
20802,Glen Eira,FY201314,ASC,2: 5-9,"2,950",33,$7.95,$2.45
20803,Kingston,FY201314,ASC,2: 5-9,"1,910",23,$7.65,$1.95
20804,Stonnington - East,FY201314,ASC,2: 5-9,800,11,$9.15,$1.70
20901,Banyule,FY201314,ASC,2: 5-9,"2,750",32,$7.10,$1.40
20902,Darebin - North,FY201314,ASC,2: 5-9,"1,160",20,$6.50,$1.55
20903,Nillumbik - Kinglake,FY201314,ASC,2: 5-9,"1,450",22,$6.25,$1.95
20904,Whittlesea - Wallan,FY201314,ASC,2: 5-9,"2,450",37,$7.50,$2.00
21001,Keilor,FY201314,ASC,2: 5-9,910,13,$7.15,$1.05
21002,Macedon Ranges,FY201314,ASC,2: 5-9,480,7,$6.40,$1.35
21003,Moreland - North,FY201314,ASC,2: 5-9,560,13,$7.30,$1.80
21004,Sunbury,FY201314,ASC,2: 5-9,710,10,$7.00,$1.50
21005,Tullamarine - Broadmeadows,FY201314,ASC,2: 5-9,"1,720",25,$6.40,$1.50
21101,Knox,FY201314,ASC,2: 5-9,"2,120",38,$7.40,$1.55
21102,Manningham - East,FY201314,ASC,2: 5-9,460,9,$7.75,$2.70
21103,Maroondah,FY201314,ASC,2: 5-9,"1,750",26,$7.05,$1.60
21104,Whitehorse - East,FY201314,ASC,2: 5-9,980,14,$7.30,$1.75
21105,Yarra Ranges,FY201314,ASC,2: 5-9,"2,650",46,$6.15,$1.45
21201,Cardinia,FY201314,ASC,2: 5-9,820,16,$6.75,$1.20
21202,Casey - North,FY201314,ASC,2: 5-9,"1,680",24,$7.50,$1.70
21203,Casey - South,FY201314,ASC,2: 5-9,"1,430",24,$7.15,$1.95
21204,Dandenong,FY201314,ASC,2: 5-9,"1,240",25,$6.60,$2.80
21205,Monash,FY201314,ASC,2: 5-9,"2,770",37,$7.55,$1.80
21301,Brimbank,FY201314,ASC,2: 5-9,"1,510",27,$6.75,$1.20
21302,Hobsons Bay,FY201314,ASC,2: 5-9,"1,690",20,$6.95,$1.35
21303,Maribyrnong,FY201314,ASC,2: 5-9,"1,120",10,$7.05,$1.60
21304,Melton - Bacchus Marsh,FY201314,ASC,2: 5-9,"2,260",23,$7.20,$1.80
21305,Wyndham,FY201314,ASC,2: 5-9,"3,270",35,$6.20,$1.35
21401,Frankston,FY201314,ASC,2: 5-9,"1,560",22,$7.15,$1.85
21402,Mornington Peninsula,FY201314,ASC,2: 5-9,"1,980",33,$7.95,$2.20
